paths,labels
/home/chanukya/Downloads/ClearCut/train/62a4ff862be4ea4a151632ad/scraped_qjIXYk_1654868372216.jpg,"{'filename': 'scraped_qjIXYk_1654868372216.jpg', 'size': 0, 'regions': [{'shape_attributes': {'name': 'polygon', 'all_points_x': [713, 865, 861, 710], 'all_points_y': [383, 386, 495, 491]}, 'region_attributes': {'identity': 'LCD'}}, {'shape_attributes': {'name': 'polygon', 'all_points_x': [751, 851, 853, 753], 'all_points_y': [428, 431, 470, 470]}, 'region_attributes': {'identity': 'odometer', 'reading': '80272'}}], 'file_attributes': {}}"
/home/chanukya/Downloads/ClearCut/train/62a4ff862be4ea4a151632ad/scraped_FojCXY_1654868393097.jpg,"{'filename': 'scraped_FojCXY_1654868393097.jpg', 'size': 0, 'regions': [{'shape_attributes': {'name': 'polygon', 'all_points_x': [587, 734, 739, 590], 'all_points_y': [391, 389, 595, 596]}, 'region_attributes': {'identity': 'LCD'}}, {'shape_attributes': {'name': 'polygon', 'all_points_x': [633, 719, 720, 633], 'all_points_y': [540, 538, 564, 565]}, 'region_attributes': {'identity': 'odometer', 'reading': '48318'}}], 'file_attributes': {}}"
/home/chanukya/Downloads/ClearCut/train/62a4ff862be4ea4a151632ad/scraped_8CqXuO_1654868276547.jpg,"{'filename': 'scraped_8CqXuO_1654868276547.jpg', 'size': 0, 'regions': [{'shape_attributes': {'name': 'polygon', 'all_points_x': [573, 703, 701, 574], 'all_points_y': [237, 238, 407, 405]}, 'region_attributes': {'identity': 'LCD', 'reading': ''}}, {'shape_attributes': {'name': 'polygon', 'all_points_x': [609, 671, 670, 607], 'all_points_y': [328, 329, 353, 353]}, 'region_attributes': {'identity': 'odometer', 'reading': '68190'}}], 'file_attributes': {}}"
/home/chanukya/Downloads/ClearCut/train/62a4ff862be4ea4a151632ad/scraped_Z5C02s_1654868273966.jpg,"{'filename': 'scraped_Z5C02s_1654868273966.jpg', 'size': 0, 'regions': [{'shape_attributes': {'name': 'polygon', 'all_points_x': [627, 728, 727, 625], 'all_points_y': [352, 354, 511, 507]}, 'region_attributes': {'identity': 'LCD', 'reading': ''}}, {'shape_attributes': {'name': 'polygon', 'all_points_x': [649, 715, 713, 648], 'all_points_y': [462, 463, 487, 485]}, 'region_attributes': {'identity': 'odometer', 'reading': '33050'}}], 'file_attributes': {}}"
/home/chanukya/Downloads/ClearCut/train/62a4ff862be4ea4a151632ad/scraped_BcG2F2_1654868413699.jpg,"{'filename': 'scraped_BcG2F2_1654868413699.jpg', 'size': 0, 'regions': [{'shape_attributes': {'name': 'polygon', 'all_points_x': [879, 1098, 1095, 880], 'all_points_y': [206, 208, 374, 365]}, 'region_attributes': {'identity': 'LCD'}}, {'shape_attributes': {'name': 'polygon', 'all_points_x': [953, 1025, 1024, 952], 'all_points_y': [290, 291, 323, 322]}, 'region_attributes': {'identity': 'odometer', 'reading': '75802'}}], 'file_attributes': {}}"
/home/chanukya/Downloads/ClearCut/train/62a4ff862be4ea4a151632ad/scraped_ciBLRz_1654868390546.jpg,"{'filename': 'scraped_ciBLRz_1654868390546.jpg', 'size': 0, 'regions': [{'shape_attributes': {'name': 'polygon', 'all_points_x': [545, 746, 746, 549], 'all_points_y': [447, 444, 505, 512]}, 'region_attributes': {'identity': 'LCD'}}, {'shape_attributes': {'name': 'polygon', 'all_points_x': [579, 663, 663, 580], 'all_points_y': [469, 466, 500, 503]}, 'region_attributes': {'identity': 'odometer', 'reading': '34143'}}], 'file_attributes': {}}"
/home/chanukya/Downloads/ClearCut/train/62a4ff862be4ea4a151632ad/scraped_VFvV9Q_1654868359428.jpg,"{'filename': 'scraped_VFvV9Q_1654868359428.jpg', 'size': 0, 'regions': [{'shape_attributes': {'name': 'polygon', 'all_points_x': [557, 766, 767, 558], 'all_points_y': [239, 237, 499, 501]}, 'region_attributes': {'identity': 'LCD'}}, {'shape_attributes': {'name': 'polygon', 'all_points_x': [687, 737, 736, 687], 'all_points_y': [462, 463, 489, 490]}, 'region_attributes': {'identity': 'odometer', 'reading': '4745'}}], 'file_attributes': {}}"
/home/chanukya/Downloads/ClearCut/train/62a4ff862be4ea4a151632ad/scraped_la0H4Y_1654868466336.jpg,"{'filename': 'scraped_la0H4Y_1654868466336.jpg', 'size': 0, 'regions': [{'shape_attributes': {'name': 'polygon', 'all_points_x': [534, 533, 748, 748, 535], 'all_points_y': [441, 441, 442, 515, 517]}, 'region_attributes': {'identity': 'LCD'}}, {'shape_attributes': {'name': 'polygon', 'all_points_x': [626, 695, 693, 626], 'all_points_y': [456, 455, 482, 483]}, 'region_attributes': {'identity': 'odometer', 'reading': '11221'}}], 'file_attributes': {}}"
/home/chanukya/Downloads/ClearCut/train/62a4ff862be4ea4a151632ad/scraped_WFCOAQ_1654868501317.jpg,"{'filename': 'scraped_WFCOAQ_1654868501317.jpg', 'size': 0, 'regions': [{'shape_attributes': {'name': 'polygon', 'all_points_x': [668, 777, 777, 667], 'all_points_y': [311, 313, 332, 332]}, 'region_attributes': {'identity': 'odometer', 'reading': '031432'}}, {'shape_attributes': {'name': 'polygon', 'all_points_x': [662, 786, 785, 661], 'all_points_y': [305, 308, 339, 337]}, 'region_attributes': {'identity': 'LCD'}}], 'file_attributes': {}}"
/home/chanukya/Downloads/ClearCut/train/62a4ff862be4ea4a151632ad/scraped_ckis4y_1654868316768.jpg,"{'filename': 'scraped_ckis4y_1654868316768.jpg', 'size': 0, 'regions': [{'shape_attributes': {'name': 'polygon', 'all_points_x': [594, 776, 775, 600], 'all_points_y': [288, 288, 392, 397]}, 'region_attributes': {'identity': 'LCD', 'reading': ''}}, {'shape_attributes': {'name': 'polygon', 'all_points_x': [625, 697, 696, 625], 'all_points_y': [342, 342, 369, 369]}, 'region_attributes': {'identity': 'odometer', 'reading': '044712'}}], 'file_attributes': {}}"
/home/chanukya/Downloads/ClearCut/train/62a4ff862be4ea4a151632ad/scraped_ZwALsd_1654868297766.jpg,"{'filename': 'scraped_ZwALsd_1654868297766.jpg', 'size': 0, 'regions': [{'shape_attributes': {'name': 'polygon', 'all_points_x': [261, 464, 457, 262], 'all_points_y': [248, 242, 432, 433]}, 'region_attributes': {'identity': 'LCD', 'reading': ''}}, {'shape_attributes': {'name': 'polygon', 'all_points_x': [337, 430, 430, 336], 'all_points_y': [344, 340, 381, 383]}, 'region_attributes': {'identity': 'odometer', 'reading': '52277'}}], 'file_attributes': {}}"
